time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,54,3,825,147
2024-07-06 00:00:00+00:00,1,1,646,113
2024-07-07 00:00:00+00:00,4,4,954,144
2024-07-08 00:00:00+00:00,255,13,5064,629
2024-07-09 00:00:00+00:00,243,8,5148,739
2024-07-10 00:00:00+00:00,176,6,4374,683
2024-07-11 00:00:00+00:00,222,9,4443,637
2024-07-12 00:00:00+00:00,40,3,3794,536
2024-07-13 00:00:00+00:00,8,5,566,124
2024-07-14 00:00:00+00:00,2,2,746,144
2024-07-15 00:00:00+00:00,155,7,4001,571
2024-07-16 00:00:00+00:00,388,7,5038,705
2024-07-17 00:00:00+00:00,285,10,4630,680
2024-07-18 00:00:00+00:00,158,9,4290,648
2024-07-19 00:00:00+00:00,376,4,2476,347
