time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,187,5,1031,169
2024-09-14 00:00:00+00:00,41,6,1205,167
2024-09-15 00:00:00+00:00,7,4,732,167
2024-09-16 00:00:00+00:00,569,7,4116,665
2024-09-17 00:00:00+00:00,246,7,4478,637
2024-09-18 00:00:00+00:00,376,13,4226,633
2024-09-19 00:00:00+00:00,341,8,4602,636
2024-09-20 00:00:00+00:00,776,13,3933,532
2024-09-21 00:00:00+00:00,363,15,985,137
2024-09-22 00:00:00+00:00,10,6,746,126
2024-09-23 00:00:00+00:00,366,10,4755,607
2024-09-24 00:00:00+00:00,189,9,5158,663
2024-09-25 00:00:00+00:00,256,9,6049,683
2024-09-26 00:00:00+00:00,273,9,3149,617
2024-09-27 00:00:00+00:00,34,8,1664,359
