time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-13 00:00:00+00:00,8,5,280,108
2025-07-14 00:00:00+00:00,1698,122,3245,541
2025-07-15 00:00:00+00:00,1648,138,2700,549
2025-07-16 00:00:00+00:00,3008,142,3006,539
2025-07-17 00:00:00+00:00,2224,118,3287,641
2025-07-18 00:00:00+00:00,1271,33,1955,461
2025-07-19 00:00:00+00:00,177,34,517,145
2025-07-20 00:00:00+00:00,94,31,1506,147
2025-07-21 00:00:00+00:00,1217,128,2887,556
2025-07-22 00:00:00+00:00,1043,85,2929,609
2025-07-23 00:00:00+00:00,1199,116,3234,599
2025-07-24 00:00:00+00:00,1021,113,2886,567
2025-07-25 00:00:00+00:00,319,144,2145,492
2025-07-26 00:00:00+00:00,170,41,660,161
2025-07-27 00:00:00+00:00,35,22,284,82
