time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-25 00:00:00+00:00,345,26,1571,279
2023-05-26 00:00:00+00:00,109,24,3301,598
2023-05-27 00:00:00+00:00,33,13,1086,174
2023-05-28 00:00:00+00:00,35,23,903,162
2023-05-29 00:00:00+00:00,66,15,2336,503
2023-05-30 00:00:00+00:00,117,16,3840,728
2023-05-31 00:00:00+00:00,770,31,4294,714
2023-06-01 00:00:00+00:00,388,24,4047,650
2023-06-02 00:00:00+00:00,305,10,3682,548
2023-06-03 00:00:00+00:00,9,6,1095,201
2023-06-04 00:00:00+00:00,37,14,1471,206
2023-06-05 00:00:00+00:00,172,15,3707,629
2023-06-06 00:00:00+00:00,710,32,4114,737
2023-06-07 00:00:00+00:00,559,19,4304,691
2023-06-08 00:00:00+00:00,34,6,1784,387
