time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,1470,240,2247,563
2026-07-10 00:00:00+00:00,1169,209,2374,661
2026-07-11 00:00:00+00:00,853,136,788,317
2026-07-12 00:00:00+00:00,1110,305,655,292
2026-07-13 00:00:00+00:00,2062,507,1381,428
2026-07-14 00:00:00+00:00,1500,329,1397,454
2026-07-15 00:00:00+00:00,2882,269,1502,455
2026-07-16 00:00:00+00:00,1525,217,1068,445
2026-07-17 00:00:00+00:00,1317,291,1096,403
2026-07-18 00:00:00+00:00,785,193,600,277
2026-07-19 00:00:00+00:00,433,187,772,537
2026-07-20 00:00:00+00:00,1103,208,1204,409
2026-07-21 00:00:00+00:00,2612,183,1374,473
2026-07-22 00:00:00+00:00,2197,169,1306,425
