time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-04 00:00:00+00:00,2,2,256,69
2023-03-05 00:00:00+00:00,69,25,792,188
2023-03-06 00:00:00+00:00,533,28,3037,652
2023-03-07 00:00:00+00:00,340,19,3923,757
2023-03-08 00:00:00+00:00,337,27,4014,630
2023-03-09 00:00:00+00:00,539,31,4031,748
2023-03-10 00:00:00+00:00,464,23,3204,637
2023-03-11 00:00:00+00:00,150,5,808,196
2023-03-12 00:00:00+00:00,138,9,814,182
2023-03-13 00:00:00+00:00,544,20,3289,695
2023-03-14 00:00:00+00:00,425,23,3556,701
2023-03-15 00:00:00+00:00,252,26,4355,749
2023-03-16 00:00:00+00:00,604,23,3752,749
2023-03-17 00:00:00+00:00,375,20,3247,630
2023-03-18 00:00:00+00:00,4,2,479,94
