time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-31 00:00:00+00:00,10,4,1462,173
2024-06-01 00:00:00+00:00,21,6,1199,228
2024-06-02 00:00:00+00:00,61,25,1037,175
2024-06-03 00:00:00+00:00,472,46,4015,635
2024-06-04 00:00:00+00:00,302,38,4694,670
2024-06-05 00:00:00+00:00,539,65,6382,722
2024-06-06 00:00:00+00:00,480,53,4563,647
2024-06-07 00:00:00+00:00,475,54,4453,587
2024-06-08 00:00:00+00:00,62,13,907,166
2024-06-09 00:00:00+00:00,106,23,847,165
2024-06-10 00:00:00+00:00,640,69,4578,695
2024-06-11 00:00:00+00:00,393,53,4772,636
2024-06-12 00:00:00+00:00,640,68,4761,691
2024-06-13 00:00:00+00:00,581,50,4633,687
2024-06-14 00:00:00+00:00,106,20,2190,301
