time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,124,4,706,167
2024-11-02 00:00:00+00:00,6,4,354,117
2024-11-03 00:00:00+00:00,81,7,694,146
2024-11-04 00:00:00+00:00,481,11,2538,574
2024-11-05 00:00:00+00:00,967,13,2963,560
2024-11-06 00:00:00+00:00,995,16,3172,602
2024-11-07 00:00:00+00:00,725,10,2790,598
2024-11-08 00:00:00+00:00,568,13,2028,514
2024-11-09 00:00:00+00:00,5,3,611,297
2024-11-10 00:00:00+00:00,2,2,630,166
2024-11-11 00:00:00+00:00,753,10,3090,553
2024-11-12 00:00:00+00:00,603,11,2580,606
2024-11-13 00:00:00+00:00,1116,12,2941,614
2024-11-14 00:00:00+00:00,660,14,2656,558
2024-11-15 00:00:00+00:00,161,8,952,297
