time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,54,3,1669,219
2024-07-03 00:00:00+00:00,95,10,4352,617
2024-07-04 00:00:00+00:00,161,7,3691,541
2024-07-05 00:00:00+00:00,60,5,2983,476
2024-07-06 00:00:00+00:00,1,1,646,113
2024-07-07 00:00:00+00:00,4,4,954,144
2024-07-08 00:00:00+00:00,255,13,5064,629
2024-07-09 00:00:00+00:00,243,8,5148,739
2024-07-10 00:00:00+00:00,176,6,4374,683
2024-07-11 00:00:00+00:00,222,9,4443,637
2024-07-12 00:00:00+00:00,40,3,3794,536
2024-07-13 00:00:00+00:00,8,5,566,124
2024-07-14 00:00:00+00:00,2,2,746,144
2024-07-15 00:00:00+00:00,155,7,4001,571
2024-07-16 00:00:00+00:00,48,2,2475,380
