time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,395,9,1196,256
2024-10-03 00:00:00+00:00,370,7,2356,609
2024-10-04 00:00:00+00:00,290,8,2269,558
2024-10-05 00:00:00+00:00,28,8,556,176
2024-10-06 00:00:00+00:00,4,4,620,127
2024-10-07 00:00:00+00:00,720,12,3189,624
2024-10-08 00:00:00+00:00,758,11,3236,621
2024-10-09 00:00:00+00:00,838,13,2917,621
2024-10-10 00:00:00+00:00,654,17,3124,643
2024-10-11 00:00:00+00:00,560,11,2348,552
2024-10-12 00:00:00+00:00,7,6,796,153
2024-10-13 00:00:00+00:00,12,4,619,165
2024-10-14 00:00:00+00:00,938,18,2339,578
2024-10-15 00:00:00+00:00,454,9,3078,698
2024-10-16 00:00:00+00:00,108,4,1480,387
