time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-30 00:00:00+00:00,101,9,1639,262
2023-05-31 00:00:00+00:00,770,31,4294,714
2023-06-01 00:00:00+00:00,388,24,4047,650
2023-06-02 00:00:00+00:00,305,10,3682,548
2023-06-03 00:00:00+00:00,9,6,1095,201
2023-06-04 00:00:00+00:00,37,14,1471,206
2023-06-05 00:00:00+00:00,172,15,3707,629
2023-06-06 00:00:00+00:00,710,32,4114,737
2023-06-07 00:00:00+00:00,559,19,4304,691
2023-06-08 00:00:00+00:00,424,30,3922,701
2023-06-09 00:00:00+00:00,184,11,3286,552
2023-06-10 00:00:00+00:00,10,8,1219,164
2023-06-11 00:00:00+00:00,183,16,1377,155
2023-06-12 00:00:00+00:00,528,18,5131,727
2023-06-13 00:00:00+00:00,428,11,2177,416
